id,first,last,PA1,accScore,score
santr002,Ramon,Santiago,1229,21.888080,0.0178096664
rottv001,Vinny,Rottino,88,1.566050,0.0177960227
youne003,Eric,Young,1229,21.868940,0.0177940928
lavar001,Ryan,Lavarnway,295,5.247040,0.0177865763
wallb001,Brett,Wallace,1116,19.834810,0.0177731272
gomej001,Jonny,Gomes,1764,31.348540,0.0177712812
bumgm001,Madison,Bumgarner,275,4.883450,0.0177580000
bourm001,Michael,Bourn,2664,47.269260,0.0177437162
escoa003,Alcides,Escobar,2550,45.215540,0.0177315843
hosme001,Eric,Hosmer,1921,34.027760,0.0177135659
descd001,Daniel,Descalso,1320,23.351580,0.0176905909
ellim001,Mark,Ellis,2083,36.848980,0.0176903409
altuj001,Jose,Altuve,1604,28.367990,0.0176857793
laroa001,Adam,LaRoche,2116,37.234450,0.0175966210
duncs001,Shelley,Duncan,865,15.203560,0.0175763699
dejed001,David,DeJesus,2007,35.264260,0.0175706328
carrj001,Jamey,Carroll,1789,31.427290,0.0175669592
mangm001,Matt,Mangini,41,0.719840,0.0175570732
casts001,Starlin,Castro,2692,47.150620,0.0175150892
kipnj001,Jason,Kipnis,1545,27.028870,0.0174944142
ramih003,Hanley,Ramirez,2116,36.918270,0.0174471975
towlj001,J.R.,Towles,223,3.887220,0.0174314798
saltj001,Jarrod,Saltalamacchia,1405,24.461220,0.0174101210
huffa001,Aubrey,Huff,1452,25.276220,0.0174078650
milea001,Aaron,Miles,655,11.395400,0.0173975573
coghc001,Chris,Coghlan,1047,18.210920,0.0173934288
gillc002,Cole,Gillespie,193,3.352880,0.0173724352
swisn001,Nick,Swisher,2731,47.427810,0.0173664628
quino001,Omar,Quintanilla,584,10.141720,0.0173659589
castj006,Jason,Castro,1048,18.172120,0.0173398092
thomj002,Jim,Thome,909,15.757540,0.0173350275
