id,PA2,AccVal,val
abreb001,1586,12.226320,0.0077089029
uggld001,2597,19.987090,0.0076962226
yound004,211,1.622560,0.0076898578
shucj001,585,4.498280,0.0076893675
rosaw001,988,7.587370,0.0076795243
fowld001,2166,16.610480,0.0076687350
presa001,850,6.514320,0.0076639059
wortd001,251,1.921340,0.0076547410
stamc001,60,0.458980,0.0076496667
gonza002,1496,11.434650,0.0076434826
herng001,180,1.375110,0.0076395000
castj006,1048,8.002640,0.0076361069
lairg001,781,5.953880,0.0076234059
zitob001,202,1.539730,0.0076224257
kouzk001,866,6.591410,0.0076113279
marqj001,158,1.201620,0.0076051899
thomj002,909,6.906140,0.0075975138
ibanr001,2263,17.180060,0.0075917190
dobbg001,1272,9.652080,0.0075881132
chave001,904,6.857690,0.0075859403
seagk001,1601,12.140530,0.0075830918
hudst001,289,2.190960,0.0075811765
hafnt001,1458,11.052470,0.0075805693
wellv001,1958,14.837950,0.0075781154
phelc001,126,0.954280,0.0075736508
vizqo001,794,6.010050,0.0075693325
branr001,609,4.608770,0.0075677668
johne002,828,6.261150,0.0075617754
hecha001,738,5.571570,0.0075495528
moraj002,118,0.889670,0.0075395763
guilj001,587,4.422710,0.0075344293
gardb001,1922,14.467100,0.0075271072
pennc001,2017,15.158880,0.0075155578
konep001,2515,18.864480,0.0075007873
morem001,1688,12.636790,0.0074862500
dejed001,2007,15.013060,0.0074803488
willr004,217,1.621760,0.0074735484
navao001,25,0.186500,0.0074600000
jackr005,25,0.186220,0.0074488000
maybc001,1536,11.418770,0.0074340951
quenc001,1723,12.797910,0.0074276901
sancg001,2023,15.014680,0.0074219871
saltj001,1405,10.409580,0.0074089537
kalir001,288,2.132880,0.0074058333
vicid001,1262,9.326030,0.0073898811
turnj001,943,6.967030,0.0073881548
victs001,2642,19.519260,0.0073880621
zimmr001,2429,17.934440,0.0073834664
hilla001,2297,16.947610,0.0073781498
trumm001,1912,14.099530,0.0073742312
martj006,1014,7.458520,0.0073555424
betay001,1917,14.075580,0.0073425039
millj004,74,0.543320,0.0073421622
fontm001,660,4.841710,0.0073359242
minom001,179,1.312880,0.0073345251
paulx001,752,5.511230,0.0073287633
milew001,164,1.200240,0.0073185366
crowt001,718,5.246280,0.0073067967
alleb001,283,2.067790,0.0073066784
carda001,72,0.524650,0.0072868056
carrj001,1789,13.034150,0.0072857183
profj001,357,2.598600,0.0072789916
ramim002,348,2.532240,0.0072765517
johnk003,2371,17.252350,0.0072764024
miraj001,283,2.058400,0.0072734982
recka001,234,1.701890,0.0072730342
russk001,55,0.399620,0.0072658182
aybae001,2390,17.362800,0.0072647699
guzmj005,955,6.931750,0.0072583770
gorda001,2522,18.293020,0.0072533783
bellj004,292,2.116710,0.0072490068
thamm001,340,2.461920,0.0072409412
humbp001,11,0.079540,0.0072309091
bourm001,2664,19.242540,0.0072231757
dysoj001,719,5.183520,0.0072093463
mossb001,894,6.429650,0.0071920022
doumr001,1801,12.952110,0.0071916213
jacka001,2789,20.053810,0.0071903227
bakej001,839,6.013910,0.0071679499
edmoj001,279,1.998920,0.0071645878
paulf001,34,0.243540,0.0071629412
worlv001,96,0.687510,0.0071615625
hernl003,138,0.988280,0.0071614493
ojeda001,93,0.665350,0.0071543011
drews001,1958,14.006030,0.0071532329
avila001,1858,13.285020,0.0071501722
rente001,663,4.735260,0.0071421719
dudal001,1323,9.433810,0.0071306198
olivm001,1377,9.818110,0.0071300726
weekr001,2466,17.556030,0.0071192336
donaj002,614,4.369310,0.0071161401
bakej002,380,2.699030,0.0071027105
heisc001,1194,8.466100,0.0070905360
forsl001,812,5.754230,0.0070864901
hannj001,865,6.124680,0.0070805549
burre001,320,2.264120,0.0070753750
ruf-d001,337,2.383300,0.0070721068
parej002,407,2.875070,0.0070640541
narvc001,124,0.874880,0.0070554839
branm003,2105,14.851250,0.0070552257
wertj001,2308,16.279590,0.0070535485
leakm001,274,1.931600,0.0070496350
napom001,2129,15.004250,0.0070475575
ellia001,1277,8.989210,0.0070393187
ramiw001,122,0.858110,0.0070336885
greet004,649,4.564430,0.0070330200
derom001,562,3.943390,0.0070167082
holtb002,147,1.031020,0.0070137415
arenj001,1447,10.138130,0.0070063096
peres002,1023,7.158030,0.0069970968
kotsm001,990,6.925640,0.0069955960
figgc001,1270,8.878370,0.0069908425
norrd001,565,3.945470,0.0069831327
ryalr001,226,1.577270,0.0069790708
stewc001,722,5.037210,0.0069767452
ingeb001,1397,9.741410,0.0069730923
alony001,1154,8.041980,0.0069687868
sandp001,2255,15.697200,0.0069610643
weekj001,993,6.910700,0.0069594159
snydc002,807,5.615540,0.0069585378
sweem002,176,1.223130,0.0069496023
kenni001,292,2.022560,0.0069265753
barmc001,1823,12.610950,0.0069176906
pradm001,2710,18.746430,0.0069175018
schin001,1438,9.945000,0.0069158554
suzui001,2781,19.227520,0.0069138871
encae001,2219,15.334240,0.0069104281
gorzt001,105,0.725360,0.0069081905
beckg001,2155,14.885640,0.0069074896
kelld001,970,6.696980,0.0069041031
matsh001,1298,8.958250,0.0069015794
younc003,54,0.372530,0.0068987037
grifk002,112,0.771480,0.0068882143
schus001,1683,11.591460,0.0068873797
santj003,110,0.757540,0.0068867273
gregd001,437,3.007670,0.0068825400
davic003,1657,11.392930,0.0068756367
martr004,1993,13.614670,0.0068312444
dewib001,798,5.448160,0.0068272682
hernr002,973,6.634760,0.0068188695
guzmc001,415,2.824040,0.0068049157
desmi001,2514,17.047060,0.0067808512
espid001,1672,11.326080,0.0067739713
hundn001,1296,8.778170,0.0067732793
nolar001,264,1.787960,0.0067725758
iztum001,1506,10.195190,0.0067697145
stubd001,2376,16.065220,0.0067614562
lougd001,414,2.797770,0.0067578986
reyej001,2375,16.036930,0.0067523916
mcgec001,1680,11.328860,0.0067433690
ankir001,1008,6.784910,0.0067310615
florp001,629,4.233420,0.0067303975
kinsi001,2793,18.782620,0.0067248908
romia002,180,1.209110,0.0067172778
kottg001,756,5.077100,0.0067157407
cartc001,183,1.225710,0.0066978689
molij001,1007,6.733270,0.0066864647
luebc001,55,0.366190,0.0066580000
barar001,1079,7.146610,0.0066233642
hamec001,310,2.052800,0.0066219355
mahop002,253,1.674220,0.0066174704
ecksd001,515,3.405780,0.0066131650
cantj001,720,4.752940,0.0066013056
lucrj001,1809,11.934070,0.0065970536
mathj001,1031,6.795190,0.0065908729
lapom001,903,5.945160,0.0065837874
gonza005,600,3.950010,0.0065833500
wised001,544,3.574730,0.0065711949
lee-d002,1161,7.628180,0.0065703531
murpd004,451,2.962610,0.0065689800
herrj002,1082,7.089180,0.0065519224
plout001,1401,9.178920,0.0065516916
mclon001,1564,10.223810,0.0065369629
navay001,205,1.339980,0.0065364878
keara001,873,5.705000,0.0065349370
happj001,124,0.809110,0.0065250806
lee-c001,2001,13.018050,0.0065057721
mousm001,1545,10.040550,0.0064987379
thame001,696,4.515420,0.0064876724
lopej003,1155,7.478040,0.0064744935
chisl001,703,4.545080,0.0064652632
pears001,489,3.140290,0.0064218609
martl004,589,3.781470,0.0064201528
lohsk001,274,1.758050,0.0064162409
parrg001,2044,13.110200,0.0064139922
dunna001,2507,16.069290,0.0064097686
hinse001,808,5.164370,0.0063915470
jasoj001,1365,8.719870,0.0063881832
blacc001,489,3.123820,0.0063881800
garcj004,209,1.335000,0.0063875598
mccab002,2082,13.297030,0.0063866619
iglej001,510,3.255620,0.0063835686
reveb001,1432,9.136440,0.0063801955
redmm001,69,0.439420,0.0063684058
rollj001,2515,15.992150,0.0063587078
rodrs002,1455,9.240450,0.0063508247
valed001,1294,8.211820,0.0063460742
polap001,1995,12.655390,0.0063435539
tabaj002,1588,10.072530,0.0063429030
kotcc001,1615,10.228700,0.0063335604
calla001,2255,14.255740,0.0063218359
burrp001,729,4.605760,0.0063179150
brigr001,754,4.763680,0.0063178780
uptob001,2459,15.530580,0.0063158113
saunj001,151,0.951490,0.0063012583
lidda001,190,1.196250,0.0062960526
scotl001,1430,8.970370,0.0062729860
crisc001,2129,13.310500,0.0062519962
franj005,768,4.793130,0.0062410547
piera001,2109,13.096660,0.0062098909
wietm001,2309,14.338400,0.0062097878
bumgm001,275,1.706210,0.0062044000
pridj001,263,1.628070,0.0061903802
uribj002,1610,9.928480,0.0061667578
marcs001,158,0.971320,0.0061475949
drewj001,845,5.194000,0.0061467456
geruj001,78,0.478900,0.0061397436
nisht001,259,1.589080,0.0061354440
torra001,1814,11.116420,0.0061281257
valdw001,892,5.460350,0.0061214686
lowed001,142,0.868850,0.0061186620
harrw001,626,3.829910,0.0061180671
franb001,776,4.747430,0.0061178222
bourj001,484,2.953110,0.0061014669
choos001,2505,15.274470,0.0060975928
wellc001,786,4.792700,0.0060975827
lahab001,474,2.889680,0.0060963713
lylej001,82,0.499170,0.0060874390
cartc002,1006,6.110040,0.0060735984
tejam001,1234,7.493860,0.0060728201
consj001,241,1.461940,0.0060661411
morsm001,1695,10.280640,0.0060652743
ryanb002,1866,11.291710,0.0060512915
ruizc001,1785,10.770270,0.0060337647
willd003,42,0.253280,0.0060304762
cruzn002,2261,13.600100,0.0060150818
crawb001,1351,8.125190,0.0060142043
jeted001,2380,14.245240,0.0059853950
iztuc001,877,5.246820,0.0059826910
overl001,1725,10.316820,0.0059807652
nelsc001,849,5.065070,0.0059659246
wilsj002,538,3.208760,0.0059642379
blang001,1325,7.898340,0.0059610113
counc001,433,2.579570,0.0059574365
winnr001,242,1.440320,0.0059517355
castr002,211,1.253960,0.0059429384
fukuk001,1116,6.630800,0.0059415771
coghc001,1047,6.214840,0.0059358548
hessm001,67,0.396220,0.0059137313
nunee002,864,5.103740,0.0059071065
solad001,732,4.307840,0.0058850273
sierm001,282,1.658860,0.0058824823
clevs001,254,1.489680,0.0058648819
mckem001,622,3.641400,0.0058543408
ramow001,952,5.552920,0.0058328992
shopk001,874,5.097710,0.0058326201
woodb003,528,3.079050,0.0058315341
amara001,788,4.592010,0.0058274239
mercj002,464,2.702060,0.0058234052
sullc001,71,0.411560,0.0057966197
flowt001,592,3.426000,0.0057871622
downm001,542,3.125860,0.0057672694
blakc001,853,4.917440,0.0057648769
